model,set,protocol,n,ci_low,ci_high,params_m,finetuned,ndcg@10,recall@5,recall@10,mrr@10,ndcg@10_seen,recall@10_seen,ndcg@10_unseen_articles,recall@10_unseen_articles,ndcg@10_unseen_codes,recall@10_unseen_codes
USER-bge-m3,golden,article,174,0.8503,0.9182,359.0000,False,0.8853,0.9349,0.9626,0.8766,0.8879,0.9626,0.8395,0.9339,0.9285,0.9914
USER-bge-m3,external,chunk,25,0.8819,0.9852,359.0000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
USER-bge-m3,external,article,25,0.8819,0.9852,359.0000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
USER-bge-m3,dev,chunk,296,0.8079,0.8753,359.0000,False,0.8428,0.9054,0.9324,0.8134,0.8432,0.9324,0.8417,0.9324,,
USER-bge-m3,dev,article,296,0.8117,0.8772,359.0000,False,0.8448,0.9155,0.9459,0.8117,0.8484,0.9369,0.8340,0.9730,,
USER2-base,test,chunk,728,0.8038,0.8460,149.0000,False,0.8253,0.9080,0.9451,0.7862,0.8247,0.9454,0.8147,0.9312,0.8368,0.9585
USER2-base,test,article,728,0.7934,0.8380,149.0000,False,0.8163,0.8997,0.9245,0.7809,0.8164,0.9181,0.8099,0.9266,0.8227,0.9309
USER2-base,golden,chunk,174,0.8294,0.9046,149.0000,False,0.8686,0.9205,0.9464,0.8620,0.8743,0.9511,0.7936,0.8879,0.9378,1.0000
USER2-base,golden,article,174,0.8201,0.8959,149.0000,False,0.8593,0.9262,0.9483,0.8462,0.8905,0.9540,0.7806,0.8994,0.9067,0.9914
USER2-base,external,chunk,25,0.8111,0.9652,149.0000,False,0.8929,1.0000,1.0000,0.8567,,,,,,
USER2-base,external,article,25,0.8567,0.9800,149.0000,False,0.9209,1.0000,1.0000,0.8933,,,,,,
USER2-base,dev,chunk,296,0.8167,0.8840,149.0000,False,0.8515,0.8986,0.9358,0.8245,0.8572,0.9279,0.8344,0.9595,,
USER2-base,dev,article,296,0.7916,0.8610,149.0000,False,0.8270,0.8953,0.9358,0.7920,0.8363,0.9279,0.7993,0.9595,,
FRIDA,test,chunk,728,0.8594,0.8958,823.4000,False,0.8783,0.9368,0.9643,0.8502,0.8735,0.9625,0.8733,0.9587,0.8898,0.9724
FRIDA,test,article,728,0.8397,0.8801,823.4000,False,0.8605,0.9217,0.9519,0.8307,0.8687,0.9488,0.8529,0.9450,0.8571,0.9631
FRIDA,golden,chunk,174,0.8856,0.9447,823.4000,False,0.9165,0.9636,0.9751,0.9131,0.9306,0.9770,0.8590,0.9483,0.9598,1.0000
FRIDA,golden,article,174,0.8664,0.9290,823.4000,False,0.8991,0.9483,0.9703,0.8995,0.9182,0.9770,0.8562,0.9425,0.9229,0.9914
FRIDA,external,chunk,25,0.9262,1.0000,823.4000,False,0.9705,1.0000,1.0000,0.9600,,,,,,
FRIDA,external,article,25,0.9262,1.0000,823.4000,False,0.9705,1.0000,1.0000,0.9600,,,,,,
FRIDA,dev,chunk,296,0.8428,0.9042,823.4000,False,0.8746,0.9358,0.9527,0.8490,0.8915,0.9595,0.8239,0.9324,,
FRIDA,dev,article,296,0.8409,0.9010,823.4000,False,0.8714,0.9392,0.9561,0.8435,0.8807,0.9550,0.8436,0.9595,,
ru-en-RoSBERTa,test,chunk,728,0.8190,0.8592,404.8000,False,0.8396,0.9203,0.9560,0.8014,0.8438,0.9522,0.8366,0.9495,0.8368,0.9677
ru-en-RoSBERTa,test,article,728,0.7904,0.8346,404.8000,False,0.8130,0.8970,0.9341,0.7736,0.8151,0.9420,0.8129,0.9312,0.8103,0.9263
ru-en-RoSBERTa,golden,chunk,174,0.8487,0.9139,404.8000,False,0.8820,0.9406,0.9837,0.8571,0.8934,0.9770,0.8266,0.9741,0.9260,1.0000
ru-en-RoSBERTa,golden,article,174,0.8086,0.8850,404.8000,False,0.8481,0.9195,0.9511,0.8286,0.8586,0.9540,0.7924,0.9425,0.8934,0.9569
ru-en-RoSBERTa,external,chunk,25,0.8462,0.9800,404.8000,False,0.9157,1.0000,1.0000,0.8867,,,,,,
ru-en-RoSBERTa,external,article,25,0.7871,0.9705,404.8000,False,0.8862,0.9600,0.9600,0.8600,,,,,,
ru-en-RoSBERTa,dev,chunk,296,0.8210,0.8861,404.8000,False,0.8540,0.9122,0.9426,0.8254,0.8597,0.9414,0.8372,0.9459,,
ru-en-RoSBERTa,dev,article,296,0.8033,0.8715,404.8000,False,0.8379,0.9020,0.9324,0.8076,0.8463,0.9369,0.8126,0.9189,,
Qwen3-Emb-0.6B,test,chunk,728,0.8230,0.8632,595.8000,False,0.8430,0.9272,0.9533,0.8067,0.8339,0.9420,0.8397,0.9541,0.8585,0.9677
Qwen3-Emb-0.6B,test,article,728,0.8065,0.8500,595.8000,False,0.8288,0.9080,0.9341,0.7941,0.8250,0.9181,0.8248,0.9358,0.8379,0.9539
Qwen3-Emb-0.6B,golden,chunk,174,0.8305,0.9038,595.8000,False,0.8685,0.9262,0.9521,0.8547,0.8568,0.9339,0.8231,0.9397,0.9256,0.9828
Qwen3-Emb-0.6B,golden,article,174,0.8107,0.8859,595.8000,False,0.8496,0.9138,0.9502,0.8343,0.8511,0.9425,0.8191,0.9339,0.8785,0.9741
Qwen3-Emb-0.6B,external,chunk,25,0.9114,1.0000,595.8000,False,0.9557,1.0000,1.0000,0.9400,,,,,,
Qwen3-Emb-0.6B,external,article,25,0.8167,0.9852,595.8000,False,0.9157,0.9600,0.9600,0.9000,,,,,,
Qwen3-Emb-0.6B,dev,chunk,296,0.8066,0.8750,595.8000,False,0.8410,0.8953,0.9358,0.8105,0.8463,0.9324,0.8252,0.9459,,
Qwen3-Emb-0.6B,dev,article,296,0.7924,0.8638,595.8000,False,0.8286,0.8919,0.9257,0.7976,0.8326,0.9234,0.8167,0.9324,,
rubert-tiny2,test,chunk,728,0.3759,0.4336,29.2000,False,0.4050,0.4876,0.5879,0.3476,0.3953,0.5802,0.3427,0.5138,0.4806,0.6728
rubert-tiny2,test,article,728,0.3550,0.4122,29.2000,False,0.3836,0.4643,0.5632,0.3271,0.3714,0.5358,0.3483,0.5367,0.4354,0.6267
rubert-tiny2,golden,chunk,174,0.3508,0.4619,29.2000,False,0.4062,0.4933,0.6025,0.3548,0.3772,0.5546,0.3464,0.5460,0.4951,0.7069
rubert-tiny2,golden,article,174,0.3503,0.4615,29.2000,False,0.4051,0.4943,0.5958,0.3586,0.3442,0.5287,0.3923,0.5776,0.4788,0.6810
rubert-tiny2,external,chunk,25,0.4278,0.7239,29.2000,False,0.5754,0.7200,0.8000,0.5050,,,,,,
rubert-tiny2,external,article,25,0.3343,0.6102,29.2000,False,0.4703,0.6000,0.7600,0.3803,,,,,,
rubert-tiny2,dev,chunk,296,0.3806,0.4749,29.2000,False,0.4285,0.5236,0.5980,0.3753,0.4402,0.6126,0.3934,0.5541,,
